obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),J_i,J_k,g_i,g_k,Type,tp_ref,line_ref,column_18
"=""335.880""","=""""","=""390""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""339.135""","=""""","=""730""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""343.647""","=""""","=""580""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""346.091""","=""""","=""360""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""346.321""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""346.454""","=""""","=""460""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""346.729""","=""""","=""630""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""347.442""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""348.136""","=""""","=""360""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""349.037""","=""""","=""1600""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""349.500""","=""""","=""340""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""350.108""","=""""","=""630""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""350.501""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""350.834""","=""""","=""780""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""351.467""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""351.562""","=""""","=""1600""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""353.534""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""354.358""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""355.021""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""355.3965""","=""""","=""20""","=""2.0e+06""","=""3.8e-03""","=""5.8e-01""","=""-1.31""",C,"=""""","=""""","=""6""","=""6""",13,13,,"=""T4515""","=""L1813""",
"=""355.4025""","=""""","=""370""","=""1.4e+06""","=""2.1e-03""","=""2.2e-01""","=""-1.73""",C,"=""""","=""""","=""4""","=""3""",9,7,,"=""T4515""","=""L1813""",
"=""355.4450""","=""""","=""720""","=""2.2e+06""","=""3.6e-03""","=""6.3e-01""","=""-1.27""",C,"=""""","=""""","=""7""","=""6""",15,13,,"=""T4515""","=""L1813""",
"=""355.5514""","=""""","=""600""","=""8.4e+05""","=""1.3e-03""","=""1.7e-01""","=""-1.84""",C,"=""""","=""""","=""5""","=""4""",11,9,,"=""T4515""","=""L1813""",
"=""355.5889""","=""""","=""390""","=""7.9e+05""","=""1.7e-03""","=""3.0e-01""","=""-1.59""",C,"=""""","=""""","=""7""","=""8""",15,17,,"=""T4515""","=""L1813""",
"=""355.634""","=""""","=""680""","=""2.7e+06""","=""5.9e-03""","=""9.0e-01""","=""-1.11""",C,"=""""","=""""","=""6""","=""7""",13,15,,"=""T4515""","=""L3475""",
"=""355.6843""","=""""","=""570""","=""4.1e+05""","=""6.6e-04""","=""1.0e-01""","=""-2.07""",C,"=""""","=""""","=""6""","=""5""",13,11,,"=""T4515""","=""L1813""",
"=""355.7941""","=""""","=""30""","=""7.5e+05""","=""1.2e-03""","=""1.8e-01""","=""-1.81""",C,"=""""","=""""","=""6""","=""5""",13,11,,"=""T4515""","=""L1813""",
"=""355.8857""","=""""","=""910""","=""2.9e+06""","=""5.5e-03""","=""8.4e-01""","=""-1.15""",C,"=""""","=""""","=""6""","=""6""",13,13,,"=""T4515""","=""L1813""",
"=""355.9031""","=""""","=""120""","=""1.6e+06""","=""3.6e-03""","=""4.6e-01""","=""-1.40""",C,"=""""","=""""","=""5""","=""6""",11,13,,"=""T4515""","=""L1813""",
"=""355.9595""","=""""","=""470""","=""3.9e+06""","=""5.8e-03""","=""6.1e-01""","=""-1.29""",C,"=""""","=""""","=""4""","=""3""",9,7,,"=""T4515""","=""L1813""",
"=""356.0417""","=""""","=""290""","=""1.5e+06""","=""3.7e-03""","=""3.0e-01""","=""-1.59""",C,"=""""","=""""","=""3""","=""4""",7,9,,"=""T4515""","=""L1813""",
"=""356.1326""","=""""","=""290""","=""6.4e+06""","=""9.5e-03""","=""1.00e+00""","=""-1.07""",C,"=""""","=""""","=""4""","=""3""",9,7,,"=""T4515""","=""L1813""",
