obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""272.639""","=""272.6398+""","=""55""","=""""","=""""","=""""","=""""",,"=""0.1305757""","=""4.678121""","=""5d.6s2""","=""2D""","=""5/2""","=""""","=""*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""321.674""","=""321.6739+""","=""35""","=""2.6e+07""","=""5.4e-02""","=""3.4e+00""","=""-0.49""",C+,"=""0.1305757""","=""3.984920""","=""5d.6s2""","=""2D""","=""5/2""","=""""","=""*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
"=""334.319""","=""334.3191+""","=""95""","=""5.4e+07""","=""1.19e-01""","=""7.9e+00""","=""-0.14""",B,"=""0.1305757""","=""3.839135""","=""5d.6s2""","=""2D""","=""5/2""","=""""","=""*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
"=""""","=""338.9580+""","=""""","=""1.01e+07""","=""2.6e-02""","=""1.16e+00""","=""-0.98""",C+,"=""0.0000000""","=""3.657804&dagger;""","=""5d.6s2""","=""2D""","=""3/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",4,6,,"=""T9460""","=""""",
"=""""","=""340.5496+""","=""""","=""1.4e+07""","=""1.62e-02""","=""1.09e+00""","=""-1.01""",B,"=""0.1305757""","=""3.771284&dagger;""","=""5d.6s2""","=""2D""","=""5/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""346.217""","=""346.2175+""","=""65""","=""1.96e+07""","=""2.3e-02""","=""1.58e+00""","=""-0.86""",C+,"=""0.1305757""","=""3.711683&dagger;""","=""5d.6s2""","=""2D""","=""5/2""","=""4f.5d.(3P*).6s""","=""*""","=""3/2""",6,4,,"=""T9460""","=""L3475""",
"=""351.507""","=""351.5060+""","=""45""","=""1.75e+07""","=""3.2e-02""","=""2.25e+00""","=""-0.71""",C+,"=""0.1305757""","=""3.657804&dagger;""","=""5d.6s2""","=""2D""","=""5/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",6,6,,"=""T9460""","=""L3475""",
"=""357.545""","=""357.5446+""","=""200""","=""9.5e+07""","=""1.83e-01""","=""8.6e+00""","=""-0.136""",B+,"=""0.0000000""","=""3.467657""","=""5d.6s2""","=""2D""","=""3/2""","=""4f.5d.(3D*).6s""","=""*""","=""3/2""",4,4,,"=""T9460""","=""L3475""",
"=""361.411""","=""361.4105+""","=""75""","=""1.57e+07""","=""4.6e-02""","=""2.20e+00""","=""-0.73""",B,"=""0.0000000""","=""3.430565""","=""5d.6s2""","=""2D""","=""3/2""","=""4f.5d.(3F*).6s""","=""2F*""","=""5/2""",4,6,,"=""T9460""","=""L3475""",
"=""363.771""","=""363.7698+""","=""35""","=""7.2e+06""","=""1.92e-02""","=""1.38e+00""","=""-0.94""",B,"=""0.1305757""","=""3.538891""","=""5d.6s2""","=""2D""","=""5/2""","=""4f.5d.(3F*).6s""","=""2F*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
"=""364.257""","=""364.2557+""","=""170u""","=""9.1e+07""","=""1.81e-01""","=""1.30e+01""","=""0.035""",B+,"=""0.1305757""","=""3.534344""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""*""","=""5/2""",6,6,,"=""T9460""","=""L3475""",
"=""365.057""","=""365.0562+""","=""90""","=""1.88e+07""","=""5.6e-02""","=""2.71e+00""","=""-0.65""",B,"=""0.0000000""","=""3.396304""","=""5d.6s2""","=""2D""","=""3/2""","=""5d2.(1D).6p""","=""*""","=""5/2""",4,6,,"=""T9460""","=""L3475""",
"=""367.307""","=""367.3060+""","=""17""","=""1.26e+07""","=""2.5e-02""","=""1.23e+00""","=""-0.99""",C+,"=""0.0000000""","=""3.375502""","=""5d.6s2""","=""2D""","=""3/2""","=""5d2.(3P).6p""","=""2P*""","=""3/2""",4,4,,"=""T9460""","=""L3475""",
"=""""","=""370.0603+""","=""""","=""2.29e+06""","=""7.1e-03""","=""3.5e-01""","=""-1.55""",B,"=""0.0000000""","=""3.350378""","=""5d.6s2""","=""2D""","=""3/2""","=""4f.5d.(3G*).6s""","=""4G*""","=""5/2""",4,6,,"=""T9460""","=""""",
"=""370.559""","=""370.5586+""","=""120""","=""2.08e+07""","=""5.7e-02""","=""4.2e+00""","=""-0.46""",B,"=""0.1305757""","=""3.476449""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(1D).6p""","=""*""","=""7/2""",6,8,,"=""T9460""","=""L3475""",
"=""""","=""371.5348+""","=""""","=""5.9e+06""","=""8.1e-03""","=""6.0e-01""","=""-1.31""",B,"=""0.1305757""","=""3.467657""","=""5d.6s2""","=""2D""","=""5/2""","=""4f.5d.(3D*).6s""","=""*""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""""","=""379.6525+""","=""""","=""4.7e+06""","=""1.03e-02""","=""7.7e-01""","=""-1.21""",B,"=""0.1305757""","=""3.396304""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(1D).6p""","=""*""","=""5/2""",6,6,,"=""T9460""","=""""",
"=""""","=""382.0863+""","=""""","=""1.28e+06""","=""1.9e-03""","=""1.43e-01""","=""-1.94""",C+,"=""0.1305757""","=""3.375502""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(3P).6p""","=""2P*""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""""","=""383.4462+""","=""""","=""1.9e+06""","=""5.6e-03""","=""4.2e-01""","=""-1.48""",D+,"=""0.1305757""","=""3.363994""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(1G).6p""","=""2G*""","=""7/2""",6,8,,"=""T9460""","=""""",
"=""""","=""385.3517+""","=""""","=""3.0e+06""","=""6.7e-03""","=""3.4e-01""","=""-1.57""",C,"=""0.0000000""","=""3.217430""","=""5d.6s2""","=""2D""","=""3/2""","=""5d2.(3P).6p""","=""*""","=""3/2""",4,4,,"=""T9460""","=""""",
