obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""201.130""","=""201.1297+""","=""9900""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""6.164391""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4971*""","=""11/2""",10,12,,"=""""","=""L3475""",
"=""202.300""","=""202.3010+""","=""8700""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""6.480193""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""5226*""","=""11/2""",10,12,,"=""""","=""L3475""",
"=""203.422""","=""203.4232+""","=""15000""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""6.094891""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4915*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""205.288""","=""205.2881+""","=""6200""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.823587""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""5503*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""206.130""","=""206.1313+""","=""5000""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.895925""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""5561*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""208.388""","=""208.3906+""","=""3700*""","=""""","=""""","=""""","=""""",,"=""1.622693""","=""7.572299""","=""5d8.(3F).6s""","=""a 2F""","=""7/2""","=""""","=""6107*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""208.388""","=""208.3886+""","=""3700*""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""6.666866""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""5377*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""208.640""","=""208.6405+""","=""3100""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.823587""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""5503*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""208.948""","=""208.9494+""","=""17000""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.933694""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4785*""","=""11/2""",10,12,,"=""""","=""L3475""",
"=""209.330""","=""209.3303+""","=""14000""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""6.274391""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""5060*""","=""11/2""",10,12,,"=""""","=""L3475""",
"=""211.335""","=""211.3354+""","=""2700""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.650768""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""5364*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""212.021""","=""212.0211+""","=""1800*""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.847730""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4716*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""212.021""","=""212.0205+""","=""1800*""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""7.072406""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""""","=""5704*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""212.611""","=""212.6112+""","=""2000""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.712607""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""5414*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""212.819""","=""212.8178+""","=""2000""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""6.177332""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4982*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""212.861""","=""212.8610+""","=""4500""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.824656""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4697*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""214.890""","=""214.8899+""","=""3700""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.650768""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""5364*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""215.122""","=""215.1223+""","=""2500""","=""""","=""""","=""""","=""""",,"=""0.505724""","=""6.269152""","=""5d7.6s2""","=""a 4F""","=""3/2""","=""""","=""5056*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""215.649""","=""215.6490+""","=""2900""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.749351""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4637*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""215.873""","=""215.8725+""","=""7900""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""6.094891""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4915*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""216.356""","=""216.3551+""","=""2100""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.730589""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4622*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""217.592""","=""217.5931+""","=""4500""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.697983""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4595*""","=""11/2""",10,12,,"=""""","=""L3475""",
"=""217.885""","=""217.8846+""","=""2700""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.690360""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4589*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""219.233""","=""219.2325+""","=""740""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""6.006867""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4844*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""222.106""","=""222.1063+""","=""1300""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""5.933694""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4785*""","=""11/2""",10,12,,"=""""","=""L3475""",
"=""225.4073""","=""225.4073+""","=""600""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.381558""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""5147*""","=""9/2""",8,10,,"=""""","=""L14858""",
"=""225.4185""","=""225.4187+""","=""1500""","=""""","=""""","=""""","=""""",,"=""0.505724""","=""6.005897""","=""5d7.6s2""","=""a 4F""","=""3/2""","=""""","=""4844*""","=""3/2""",4,4,,"=""""","=""L14858""",
"=""225.580""","=""225.5802+""","=""2100""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""5.847730""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4716*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""225.651""","=""225.6517+""","=""1400""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""6.211696""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""5010*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""225.921""","=""225.9208+""","=""350""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""6.712607""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""""","=""5414*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""225.956""","=""225.9556+""","=""1400""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.271169""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""5058*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""226.531""","=""226.5311+""","=""830""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""5.824656""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4697*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""226.703""","=""226.7031+""","=""1100""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.253076""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""5043*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""226.960""","=""226.9600+""","=""1000""","=""""","=""""","=""""","=""""",,"=""1.311589""","=""6.774411""","=""5d8.(3P).6s""","=""a 2P""","=""3/2""","=""""","=""5463*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""228.070""","=""228.0703+""","=""660*""","=""""","=""""","=""""","=""""",,"=""2.053842""","=""7.490069""","=""5d8.(3P).6s""","=""a 4P""","=""3/2""","=""""","=""6041*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""228.070""","=""228.0711+""","=""660*""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.220272""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""5016*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""228.261""","=""228.2613+""","=""660""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""6.656338""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""""","=""5368*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""228.530""","=""228.5314+""","=""330""","=""""","=""""","=""""","=""""",,"=""1.728315""","=""7.153573""","=""5d7.6s2""","=""a 2G""","=""9/2""","=""""","=""5769*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""229.579""","=""229.5795+""","=""330""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""6.117692""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""4934*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""229.8867""","=""229.8870+""","=""790""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.177332""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4982*""","=""7/2""",8,8,,"=""""","=""L14858""",
"=""230.024""","=""230.0237+""","=""460""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.271169""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""5058*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""230.121""","=""230.1207+""","=""910""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.171855""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4977*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""230.493""","=""230.4926+""","=""2700""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""5.730589""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4622*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""230.618""","=""230.6176+""","=""410""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""6.093382""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""4914*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""230.798""","=""230.7984+""","=""210""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.253076""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""5043*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""230.964""","=""230.9607+""","=""910""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.152260""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4962*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""231.6045""","=""231.6055+""","=""60p""","=""""","=""""","=""""","=""""",,"=""1.622693""","=""6.975941""","=""5d8.(3F).6s""","=""a 2F""","=""7/2""","=""""","=""5626*""","=""5/2""",8,6,,"=""""","=""L14858""",
"=""231.6090""","=""231.6093+""","=""460""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.353160""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4317*""","=""7/2""",10,8,,"=""""","=""L14858""",
"=""232.216""","=""232.2165+""","=""410""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.220272""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""5016*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""232.229""","=""232.2294+""","=""410""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""5.690360""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4589*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""232.869""","=""232.8700+""","=""210*""","=""""","=""""","=""""","=""""",,"=""1.514897""","=""6.839077""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""""","=""5516*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""232.869""","=""232.8683+""","=""210*""","=""""","=""""","=""""","=""""",,"=""2.204345""","=""7.528565""","=""5d7.6s2""","=""a 2G""","=""7/2""","=""""","=""6072*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""233.402""","=""233.4016+""","=""540""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""6.029255""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""4862*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""233.456""","=""233.4556+""","=""740""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.094891""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4915*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""233.522""","=""233.5219+""","=""580""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.093382""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4914*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""234.390""","=""234.3895+""","=""1600""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""6.006867""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""4844*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""234.433""","=""234.4325+""","=""740""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""6.005897""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""4844*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""235.334""","=""235.3349+""","=""100""","=""""","=""""","=""""","=""""",,"=""1.514897""","=""6.783312""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""""","=""5471*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""235.572""","=""235.5724+""","=""580""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""6.487762""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""""","=""5232*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""235.888""","=""235.8886+""","=""410""","=""""","=""""","=""""","=""""",,"=""0.505724""","=""5.761774""","=""5d7.6s2""","=""a 4F""","=""3/2""","=""""","=""4647*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""236.145""","=""236.1452+""","=""500""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""6.474997""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""""","=""5222*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""236.376""","=""236.3769+""","=""2500""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""6.029255""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4862*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""237.349""","=""237.3503+""","=""3500""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.223680""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4213*""","=""11/2""",10,12,,"=""""","=""L3475""",
"=""237.801""","=""237.8008+""","=""250""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.094891""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""4915*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""237.871""","=""237.8697+""","=""250*""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.093382""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""4914*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""237.871""","=""237.8729+""","=""250*""","=""""","=""""","=""""","=""""",,"=""1.728315""","=""6.940518""","=""5d7.6s2""","=""a 2G""","=""9/2""","=""""","=""5597*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""238.011""","=""238.0108+""","=""500""","=""""","=""""","=""""","=""""",,"=""0.505724""","=""5.714908""","=""5d7.6s2""","=""a 4F""","=""3/2""","=""""","=""4609*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""238.235""","=""238.2352+""","=""540""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""5.988343""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4829*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""238.390""","=""238.3902+""","=""210""","=""""","=""""","=""""","=""""",,"=""1.622693""","=""6.823587""","=""5d8.(3F).6s""","=""a 2F""","=""7/2""","=""""","=""5503*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""238.762""","=""238.7623+""","=""1300""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""5.976853""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4820*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""239.135""","=""239.1346+""","=""2500""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""5.536196""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4465*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""239.191""","=""239.1904+""","=""2700""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""5.534986""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4464*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""240.832""","=""240.8326+""","=""230""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.029255""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""4862*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""241.010""","=""241.0106+""","=""290""","=""""","=""""","=""""","=""""",,"=""0.505724""","=""5.650070""","=""5d7.6s2""","=""a 4F""","=""3/2""","=""""","=""4557*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""241.090""","=""241.0907+""","=""290""","=""""","=""""","=""""","=""""",,"=""1.622693""","=""6.765329""","=""5d8.(3F).6s""","=""a 2F""","=""7/2""","=""""","=""5456*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""241.146""","=""241.1468+""","=""290""","=""""","=""""","=""""","=""""",,"=""1.514897""","=""6.656338""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""""","=""5368*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""241.404""","=""241.4047+""","=""540""","=""""","=""""","=""""","=""""",,"=""0.505724""","=""5.641672""","=""5d7.6s2""","=""a 4F""","=""3/2""","=""""","=""4550*""","=""1/2""",4,2,,"=""""","=""L3475""",
"=""241.659""","=""241.6597+""","=""370""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""5.847730""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""4716*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""241.884""","=""241.8845+""","=""620""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""6.006867""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""4844*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""242.506""","=""242.5061+""","=""120""","=""""","=""""","=""""","=""""",,"=""1.311589""","=""6.424210""","=""5d8.(3P).6s""","=""a 2P""","=""3/2""","=""""","=""5181*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""242.540""","=""242.5395+""","=""120""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""6.336577""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""""","=""5110*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""242.563""","=""242.5626+""","=""210""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""5.828632""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""4701*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""242.573""","=""242.5725+""","=""370""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""5.895286""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4754*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""242.640""","=""242.6396+""","=""290""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""5.893873""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4753*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""242.835""","=""242.8351+""","=""540""","=""""","=""""","=""""","=""""",,"=""0.505724""","=""5.611418""","=""5d7.6s2""","=""a 4F""","=""3/2""","=""""","=""4525*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""243.198""","=""243.1983+""","=""540""","=""""","=""""","=""""","=""""",,"=""0.000000""","=""5.098070""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4111*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""243.268""","=""243.2675+""","=""1300""","=""""","=""""","=""""","=""""",,"=""0.505724""","=""5.602344""","=""5d7.6s2""","=""a 4F""","=""3/2""","=""""","=""4518*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""243.310""","=""243.3092+""","=""170""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""5.976853""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""4820*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""243.332""","=""243.3319+""","=""100""","=""""","=""""","=""""","=""""",,"=""1.728315""","=""6.823587""","=""5d7.6s2""","=""a 2G""","=""9/2""","=""""","=""5503*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""243.588""","=""243.5880+""","=""270""","=""""","=""""","=""""","=""""",,"=""1.622693""","=""6.712607""","=""5d8.(3F).6s""","=""a 2F""","=""7/2""","=""""","=""5414*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""244.608""","=""244.6085+""","=""250""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""5.852745""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4720*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""244.850""","=""244.8507+""","=""250""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""5.847730""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4716*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""244.897""","=""244.8969+""","=""190""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""5.779911""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""4661*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""245.355""","=""245.3552+""","=""910""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""5.404745""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4359*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""245.635""","=""245.6352+""","=""1300""","=""1.1e+07""","=""8.e-03""","=""7.e-01""","=""-1.1""",D,"=""0.000000""","=""5.047493""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4071*""","=""7/2""",10,8,,"=""T7959,T4422""","=""L3475""",
"=""245.661""","=""245.6610+""","=""230""","=""""","=""""","=""""","=""""",,"=""0.505724""","=""5.552687""","=""5d7.6s2""","=""a 4F""","=""3/2""","=""""","=""4478*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""245.777""","=""245.7774+""","=""210*""","=""""","=""""","=""""","=""""",,"=""0.717201""","=""5.761774""","=""5d7.6s2""","=""a 4F""","=""5/2""","=""""","=""4647*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""245.777""","=""245.7777+""","=""210*""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""5.828632""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4701*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""245.797""","=""245.7969+""","=""210""","=""""","=""""","=""""","=""""",,"=""1.622693""","=""6.666866""","=""5d8.(3F).6s""","=""a 2F""","=""7/2""","=""""","=""5377*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""246.584""","=""246.5838+""","=""120""","=""""","=""""","=""""","=""""",,"=""1.622693""","=""6.650768""","=""5d8.(3F).6s""","=""a 2F""","=""7/2""","=""""","=""5364*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""246.805""","=""246.8049+""","=""870""","=""""","=""""","=""""","=""""",,"=""0.505724""","=""5.529295""","=""5d7.6s2""","=""a 4F""","=""3/2""","=""""","=""4459*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""247.587""","=""247.5871+""","=""3300""","=""2.04e+07""","=""1.88e-02""","=""1.53e+00""","=""-0.726""",B+,"=""0.000000""","=""5.007701""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4038*""","=""9/2""",10,10,,"=""T4422,T7959""","=""L3475""",
"=""247.886""","=""247.8857+""","=""210""","=""""","=""""","=""""","=""""",,"=""0.351493""","=""5.353160""","=""5d8.(3F).6s""","=""b 4F""","=""9/2""","=""""","=""4317*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""248.193""","=""248.1932+""","=""2100""","=""1.3e+07""","=""9.e-03""","=""8.e-01""","=""-1.0""",D,"=""0.000000""","=""4.995471""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""4029*""","=""7/2""",10,8,,"=""T7959,T4422""","=""L3475""",
"=""248.613""","=""248.6129+""","=""100*""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""6.211696""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""""","=""5010*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""248.613""","=""248.6148+""","=""100*""","=""""","=""""","=""""","=""""",,"=""2.053842""","=""7.040842""","=""5d8.(3P).6s""","=""a 4P""","=""3/2""","=""""","=""5678*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""249.383""","=""249.3830+""","=""620""","=""""","=""""","=""""","=""""",,"=""0.881107""","=""5.852745""","=""5d8.(3F).6s""","=""b 4F""","=""7/2""","=""""","=""4720*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""249.702""","=""249.7020+""","=""210""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""5.749351""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4637*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""250.338""","=""250.3380+""","=""250""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""6.177332""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""""","=""4982*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""250.373""","=""250.3739+""","=""4100""","=""3.8e+07""","=""3.0e-02""","=""2.9e+00""","=""-0.45""",B,"=""0.000000""","=""4.951962""","=""5d7.6s2""","=""a 4F""","=""9/2""","=""""","=""3994*""","=""11/2""",10,12,,"=""T4422,T7959""","=""L3475""",
"=""250.512""","=""250.5122+""","=""170""","=""""","=""""","=""""","=""""",,"=""2.204345""","=""7.153573""","=""5d7.6s2""","=""a 2G""","=""7/2""","=""""","=""5769*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""250.649""","=""250.6491+""","=""120""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""5.730589""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""""","=""4622*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""250.839""","=""250.8382+""","=""120""","=""""","=""""","=""""","=""""",,"=""1.311589""","=""6.254385""","=""5d8.(3P).6s""","=""a 2P""","=""3/2""","=""""","=""5044*""","=""1/2""",4,2,,"=""""","=""L3475""",
"=""251.047""","=""251.0464+""","=""170""","=""""","=""""","=""""","=""""",,"=""1.514897""","=""6.453595""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""""","=""5205*""","=""5/2""",6,6,,"=""""","=""L3475""",
